country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Iceland,ISL,0.3951,0.3681,0.3455,0.3277,0.3146,0.3051,0.2974,0.2894,0.2798,0.2681,0.2549,0.2413,0.2289,0.2188,0.2112,0.2058
Singapore,SGP,0.4286,0.3916,0.3572,0.328,0.3053,0.2893,0.2794,0.2735,0.2695,0.2665,0.2637,0.2604,0.2566,0.2525,0.2478,0.2426
Hong Kong,HKG,0.4147,0.3911,0.3697,0.3511,0.335,0.3214,0.3098,0.2995,0.29,0.281,0.2722,0.2637,0.2555,0.2478,0.2407,0.2341
Sweden,SWE,0.4026,0.3946,0.3874,0.3792,0.3693,0.3578,0.3454,0.3334,0.3225,0.3129,0.3044,0.2962,0.2878,0.2788,0.269,0.2588
Finland,FIN,0.4285,0.415,0.4024,0.3904,0.3786,0.3669,0.3556,0.3448,0.3344,0.3242,0.3134,0.3013,0.2874,0.2717,0.2547,0.2372
Japan,JPN,0.4536,0.4335,0.415,0.3983,0.3835,0.3708,0.3598,0.35,0.3411,0.3328,0.3246,0.3166,0.3086,0.3007,0.2927,0.2848
Norway,NOR,0.4677,0.4545,0.4424,0.4303,0.4175,0.4038,0.3892,0.3744,0.3597,0.3452,0.3306,0.3155,0.2998,0.2835,0.2669,0.2507
Slovenia,SVN,0.5297,0.5077,0.4886,0.4711,0.4541,0.4369,0.4195,0.4021,0.3852,0.3689,0.3531,0.3381,0.3242,0.3114,0.2996,0.2889
Czech Republic,CZE,0.5616,0.527,0.4981,0.4726,0.4494,0.4277,0.4072,0.3884,0.3713,0.3558,0.3416,0.3288,0.3173,0.3072,0.2983,0.2904
Italy,ITA,0.5554,0.5253,0.4987,0.4753,0.4548,0.4372,0.4225,0.4102,0.3996,0.3901,0.3806,0.37,0.3578,0.3439,0.3283,0.3118
Spain,ESP,0.5443,0.5217,0.5015,0.483,0.4657,0.4492,0.4336,0.4189,0.4049,0.3916,0.3786,0.3657,0.3528,0.3399,0.327,0.3143
Germany,DEU,0.5377,0.5232,0.5097,0.497,0.4845,0.4725,0.4616,0.4522,0.444,0.4363,0.4276,0.4157,0.3996,0.379,0.3546,0.3278
France,FRA,0.5405,0.5285,0.5184,0.5079,0.4962,0.4831,0.4693,0.4559,0.4438,0.4331,0.4234,0.414,0.4043,0.3938,0.3826,0.3706
Austria,AUT,0.5473,0.5368,0.5279,0.5185,0.5075,0.4947,0.4808,0.4672,0.4545,0.4425,0.4301,0.4157,0.3984,0.3779,0.3546,0.3299
Belgium,BEL,0.5691,0.5484,0.5323,0.5186,0.5066,0.4956,0.4852,0.4758,0.467,0.4585,0.4495,0.4395,0.4284,0.4161,0.4027,0.3884
Switzerland,CHE,0.562,0.5537,0.5462,0.538,0.5284,0.5174,0.5054,0.4936,0.4824,0.4721,0.4624,0.4528,0.4428,0.4322,0.4209,0.409
Denmark,DNK,0.5726,0.5604,0.547,0.5312,0.5131,0.4933,0.4737,0.456,0.4415,0.4302,0.4217,0.4147,0.4077,0.3994,0.3895,0.3779
Greece,GRC,0.6433,0.5985,0.5561,0.5182,0.4857,0.4595,0.4396,0.425,0.4144,0.4069,0.4014,0.3968,0.3922,0.3869,0.3803,0.372
Luxembourg,LUX,0.6148,0.6039,0.5847,0.5543,0.5131,0.4656,0.4189,0.3804,0.3552,0.3442,0.3459,0.3561,0.3685,0.3778,0.3819,0.3797
Netherlands,NLD,0.6137,0.6014,0.5883,0.5737,0.5575,0.5399,0.5217,0.5037,0.4865,0.4701,0.4538,0.4366,0.4178,0.3972,0.3751,0.3525
Portugal,PRT,0.6933,0.6448,0.5992,0.557,0.5181,0.4835,0.4544,0.431,0.4129,0.3988,0.3863,0.3725,0.3554,0.3339,0.3081,0.2795
Australia,AUS,0.6337,0.6183,0.6031,0.5883,0.5736,0.5591,0.5449,0.5311,0.5177,0.5047,0.4916,0.4779,0.4634,0.448,0.432,0.4158
Canada,CAN,0.6233,0.6185,0.6147,0.6111,0.6071,0.6021,0.596,0.5888,0.5809,0.5723,0.5633,0.5543,0.5456,0.5374,0.5296,0.5217
United Kingdom,GBR,0.6514,0.6388,0.627,0.616,0.6054,0.5943,0.5819,0.5679,0.5522,0.5353,0.5179,0.5015,0.487,0.4751,0.4659,0.4587
Israel,ISR,0.6842,0.6565,0.6307,0.6055,0.5807,0.5563,0.533,0.5114,0.492,0.4747,0.4587,0.4434,0.4279,0.4118,0.3951,0.3781
Ireland,IRL,0.6829,0.6595,0.6316,0.6001,0.5662,0.532,0.5004,0.4732,0.4512,0.4342,0.4202,0.4064,0.3898,0.3688,0.3433,0.3148
South Korea,KOR,0.7591,0.7096,0.6634,0.6196,0.5779,0.5386,0.5026,0.471,0.4444,0.4223,0.404,0.3883,0.3739,0.3598,0.3456,0.3311
Cyprus,CYP,0.7504,0.713,0.6767,0.6417,0.6085,0.5784,0.553,0.533,0.5185,0.5089,0.5027,0.4978,0.4923,0.4847,0.4744,0.4614
New Zealand,NZL,0.7137,0.6953,0.6787,0.6644,0.6518,0.6402,0.6283,0.6154,0.601,0.5853,0.5688,0.5528,0.5383,0.5261,0.5161,0.508
Macao,MAC,0.7521,0.7142,0.6792,0.6463,0.615,0.5851,0.5565,0.5293,0.5037,0.4798,0.4577,0.4376,0.4196,0.4037,0.3897,0.3775
Croatia,HRV,0.7697,0.7592,0.7532,0.7478,0.7404,0.7285,0.7103,0.6863,0.6576,0.625,0.59,0.5549,0.5219,0.4927,0.4683,0.449
Cuba,CUB,0.8856,0.8367,0.7965,0.7649,0.7416,0.7259,0.7167,0.7119,0.7093,0.7072,0.7038,0.6979,0.6893,0.6782,0.6645,0.6485
Taiwan,TWN,0.8627,0.8353,0.8044,0.7732,0.7431,0.7149,0.6882,0.6622,0.6362,0.6106,0.5858,0.5625,0.5412,0.5222,0.5055,0.4912
Malta,MLT,0.8709,0.8423,0.8147,0.7881,0.7625,0.7377,0.7137,0.6905,0.6681,0.6463,0.6252,0.6047,0.5848,0.5657,0.5473,0.5299
United States,USA,0.844,0.8338,0.8265,0.8208,0.8157,0.8101,0.8028,0.7934,0.7815,0.767,0.7501,0.7313,0.7115,0.6915,0.6719,0.6528
Poland,POL,0.9547,0.8913,0.8397,0.7962,0.7589,0.7259,0.6956,0.6674,0.6408,0.615,0.5899,0.5659,0.544,0.5248,0.5081,0.4939
Hungary,HUN,0.9871,0.9368,0.8892,0.8438,0.8003,0.7592,0.7211,0.6868,0.6566,0.6305,0.608,0.5886,0.5714,0.5557,0.5412,0.5275
Malaysia,MYS,0.9919,0.9404,0.8998,0.8707,0.8523,0.8431,0.8405,0.8411,0.8418,0.8403,0.8347,0.8239,0.8086,0.79,0.7683,0.7445
Slovakia,SVK,0.978,0.9399,0.9045,0.8716,0.8411,0.8131,0.7879,0.7654,0.7455,0.7279,0.7118,0.6968,0.6823,0.6679,0.6535,0.6393
Reunion,REU,1.0477,0.9833,0.923,0.8665,0.8134,0.7634,0.7161,0.6714,0.6295,0.5903,0.5544,0.5224,0.4948,0.4715,0.4523,0.4367
Mayotte,MYT,1.0479,0.9836,0.9233,0.8667,0.8136,0.7636,0.7162,0.6715,0.6295,0.5903,0.5544,0.5224,0.4947,0.4714,0.4521,0.4364
Estonia,EST,1.1946,1.0834,0.9801,0.8864,0.8038,0.7325,0.6718,0.6192,0.5727,0.5313,0.4948,0.4634,0.4374,0.4166,0.4003,0.3876
Brunei,BRN,1.106,1.0532,1.0016,0.9518,0.9044,0.8619,0.8268,0.8006,0.7834,0.7741,0.7702,0.7684,0.7651,0.7578,0.7454,0.728
French Polynesia,PYF,1.0269,1.0075,1.0031,1.0033,1.0027,0.9967,0.9825,0.9612,0.9342,0.9016,0.8643,0.824,0.7834,0.7449,0.7096,0.6785
Lithuania,LTU,1.1502,1.0749,1.0092,0.9492,0.8941,0.8426,0.794,0.7478,0.7039,0.6623,0.6234,0.5881,0.5571,0.5309,0.5094,0.4923
Martinique,MTQ,1.1178,1.0657,1.0214,0.9848,0.9552,0.9311,0.9102,0.8901,0.8688,0.8452,0.8189,0.7899,0.7599,0.73,0.7009,0.6731
Guadeloupe,GLP,1.130300045,1.075699997,1.023600006,0.973999977,0.927000046,0.882600021,0.841100025,0.802799988,0.767500019,0.735300016,0.705700016,0.678299999,0.652899981,0.628900003,0.60619998,0.584499979
Puerto Rico,PRI,1.1344,1.0761,1.0242,0.9828,0.9528,0.932,0.9162,0.8996,0.878,0.8505,0.8178,0.782,0.7469,0.7155,0.6885,0.6662
Chile,CHL,1.1507,1.1047,1.0653,1.0327,1.0066,0.9862,0.9706,0.9579,0.9465,0.9349,0.9218,0.906,0.8877,0.8671,0.8442,0.8194
United Arab Emirates,ARE,1.2373,1.1655,1.0971,1.0324,0.9718,0.9166,0.8684,0.828,0.7955,0.7702,0.7504,0.7341,0.7192,0.7039,0.6872,0.6687
Bosnia and Herzegovina,BIH,1.1851,1.1615,1.152,1.1451,1.1359,1.121,1.0995,1.0738,1.046,1.0161,0.9841,0.9504,0.9156,0.8809,0.8468,0.8144
Qatar,QAT,1.2855,1.2264,1.1707,1.1188,1.0709,1.0278,0.9902,0.9584,0.932,0.9103,0.892,0.8756,0.8598,0.8433,0.8256,0.8066
Channel Islands,OWID_CIS,1.2913,1.2489,1.2065,1.1651,1.1254,1.0881,1.054,1.0233,0.996,0.9722,0.9515,0.9334,0.9173,0.9024,0.8881,0.8741
Montenegro,MNE,1.2188,1.2227,1.238,1.2528,1.2602,1.2526,1.2244,1.1771,1.1139,1.0371,0.9522,0.8663,0.7863,0.7179,0.6638,0.6248
Bahrain,BHR,1.3517,1.3016,1.255,1.2112,1.1699,1.1308,1.0934,1.0573,1.0225,0.9886,0.9559,0.9245,0.8948,0.8669,0.8409,0.8167
Belarus,BLR,1.5402,1.4241,1.3054,1.1923,1.0888,0.996,0.9123,0.8334,0.7565,0.6824,0.6131,0.5516,0.5003,0.4603,0.4312,0.4116
Latvia,LVA,1.5772,1.4445,1.3201,1.2098,1.1173,1.0441,0.9885,0.9449,0.9078,0.8751,0.8444,0.8143,0.7848,0.756,0.7275,0.6997
Kuwait,KWT,1.3703,1.3523,1.3368,1.3227,1.3087,1.293,1.2742,1.2515,1.225,1.1946,1.1611,1.1256,1.0896,1.0546,1.0214,0.9905
Seychelles,SYC,1.3858,1.3657,1.3464,1.3282,1.3115,1.2978,1.2887,1.2844,1.2839,1.2853,1.2848,1.2778,1.2612,1.2337,1.1957,1.1496
Costa Rica,CRI,1.4203,1.3879,1.358,1.3303,1.3045,1.2804,1.2577,1.2362,1.2158,1.1963,1.1781,1.1615,1.1468,1.1336,1.1215,1.1094
United States Virgin Islands,VIR,1.4232,1.3899,1.3603,1.3339,1.3098,1.2868,1.2634,1.2388,1.2124,1.184,1.1542,1.1239,1.0945,1.0669,1.0417,1.0189
Macedonia,MKD,1.6106,1.5005,1.4109,1.3414,1.2897,1.2514,1.2212,1.1939,1.1656,1.1338,1.0985,1.0617,1.0268,0.9964,0.9704,0.948
Barbados,BRB,1.5394,1.5071,1.4764,1.445,1.4113,1.375,1.3364,1.297,1.2583,1.2205,1.1838,1.1483,1.1138,1.08,1.0472,1.0154
Antigua and Barbuda,ATG,1.6656,1.5988,1.5341,1.4719,1.4127,1.358,1.3094,1.2679,1.2332,1.2046,1.1803,1.158,1.1354,1.1108,1.0833,1.053
Bulgaria,BGR,1.7493,1.6704,1.5847,1.4967,1.4099,1.3283,1.2549,1.1905,1.1352,1.0891,1.0516,1.0209,0.9941,0.9689,0.9441,0.9191
French Guiana,GUF,1.7683,1.6884,1.6093,1.5317,1.4563,1.3845,1.3176,1.257,1.2038,1.1586,1.1229,1.0975,1.0817,1.0734,1.0707,1.0702
Guam,GUM,1.7642,1.6838,1.6098,1.5428,1.4827,1.4287,1.3794,1.333,1.2884,1.2448,1.2025,1.162,1.1245,1.0906,1.0602,1.0332
Lebanon,LBN,1.8706,1.7533,1.6458,1.5475,1.4587,1.3797,1.3111,1.2522,1.2024,1.1605,1.1255,1.0962,1.0716,1.0501,1.0307,1.0123
Grenada,GRD,1.7439,1.6944,1.6466,1.5988,1.5506,1.5032,1.459,1.4204,1.3885,1.363,1.3422,1.3236,1.3045,1.2829,1.258,1.2298
Sri Lanka,LKA,1.8439,1.7574,1.6678,1.5754,1.4811,1.3879,1.2993,1.2189,1.1489,1.0899,1.0413,1.0012,0.9662,0.9335,0.9018,0.8703
Mauritius,MUS,1.8964,1.7945,1.6994,1.6222,1.5666,1.5326,1.5162,1.5084,1.5014,1.4917,1.4768,1.4559,1.4307,1.4027,1.3721,1.3395
Serbia,SRB,1.781699944,1.743300056,1.70340004,1.663500023,1.623500061,1.581799984,1.536499977,1.486400032,1.431599998,1.372999954,1.31239996,1.252499962,1.195899963,1.14460001,1.099699974,1.061400032
Uruguay,URY,1.7639,1.7416,1.7237,1.7055,1.6851,1.6621,1.6377,1.614,1.5925,1.5727,1.5531,1.532,1.5078,1.4796,1.4475,1.4122
Curacao,CUW,1.7906,1.7759,1.7546,1.7281,1.6963,1.6584,1.6132,1.5607,1.5022,1.4396,1.376,1.3146,1.2582,1.2087,1.1668,1.1325
Bahamas,BHS,1.9456,1.8695,1.7942,1.7237,1.6597,1.6034,1.5548,1.5119,1.473,1.4373,1.4038,1.3718,1.3409,1.3106,1.2806,1.2508
Argentina,ARG,2.0779,1.9527,1.8467,1.7664,1.7136,1.6862,1.6782,1.6791,1.6796,1.6752,1.6623,1.6399,1.6107,1.5772,1.5398,1.4995
Oman,OMN,2.1951,2.0152,1.8469,1.6904,1.5469,1.4202,1.3152,1.2344,1.1771,1.1406,1.1195,1.1067,1.095,1.079,1.0554,1.0237
Ukraine,UKR,1.9618,1.9111,1.8563,1.7995,1.7408,1.6786,1.6098,1.5329,1.4481,1.3575,1.2652,1.1762,1.0949,1.0248,0.9671,0.9219
Saint Lucia,LCA,2.013,1.9716,1.9255,1.8738,1.8169,1.7574,1.6993,1.6465,1.6013,1.5639,1.5329,1.505,1.4765,1.4446,1.4085,1.3681
Thailand,THA,2.1876,2.0902,1.9966,1.9071,1.8215,1.7402,1.6641,1.5939,1.5297,1.4712,1.4176,1.3679,1.3209,1.2758,1.232,1.1895
Russia,RUS,2.2743,2.1583,2.0293,1.8937,1.7562,1.6228,1.4984,1.3857,1.2866,1.2026,1.1339,1.0791,1.0342,0.9956,0.9615,0.9305
Romania,ROU,2.2406,2.1446,2.0416,1.9325,1.8189,1.703,1.5878,1.4767,1.3727,1.2781,1.195,1.1244,1.0652,1.0157,0.9749,0.9414
New Caledonia,NCL,2.2067,2.1351,2.0675,2.0037,1.9431,1.8852,1.8294,1.7754,1.7231,1.6722,1.6229,1.5757,1.531,1.4891,1.4498,1.4132
Saudi Arabia,SAU,2.3626,2.214,2.0859,1.9802,1.8958,1.8303,1.7799,1.7391,1.7025,1.6665,1.6284,1.5869,1.543,1.4979,1.4516,1.4044
Aruba,ABW,2.1272,2.1093,2.0863,2.0582,2.0254,1.9886,1.9492,1.909,1.8696,1.832,1.7969,1.7645,1.7342,1.7056,1.6782,1.652
Syria,SYR,2.2783,2.1885,2.0983,2.0093,1.9243,1.8524,1.8046,1.7869,1.7999,1.8392,1.8945,1.9514,1.9957,2.0165,2.0091,1.9729
Venezuela,VEN,2.3553,2.2742,2.1949,2.1201,2.0507,1.9868,1.9275,1.8713,1.8169,1.764,1.7127,1.6636,1.6173,1.5741,1.5335,1.4952
Belize,BLZ,2.4863,2.4053,2.3354,2.2708,2.2083,2.1456,2.0818,2.0176,1.9536,1.8894,1.8245,1.7588,1.6927,1.6272,1.5626,1.4999
Polynesia,OWID_PYA,2.5068,2.4457,2.3892,2.3343,2.2792,2.2227,2.1639,2.1037,2.0432,1.9829,1.9238,1.8671,1.8138,1.7646,1.72,1.68
Moldova,MDA,2.6776,2.5397,2.4085,2.2882,2.1816,2.0898,2.0121,1.9446,1.8838,1.828,1.7758,1.7259,1.6783,1.6324,1.5877,1.5437
Jamaica,JAM,2.5076,2.4672,2.4223,2.374,2.3224,2.2672,2.208,2.1451,2.0794,2.0124,1.946,1.8822,1.8225,1.7679,1.7187,1.6745
Fiji,FJI,2.5856,2.5006,2.4301,2.3744,2.3319,2.2992,2.272,2.2449,2.2137,2.1761,2.1306,2.0775,2.0195,1.9594,1.8985,1.8383
Mexico,MEX,2.825,2.683,2.5697,2.4892,2.4408,2.4203,2.4196,2.4266,2.4309,2.4268,2.4101,2.3799,2.3399,2.2939,2.2428,2.1881
Albania,ALB,2.8269,2.715,2.5941,2.4647,2.3292,2.1931,2.0641,1.9491,1.8525,1.7755,1.717,1.6732,1.6372,1.6035,1.569,1.5323
Tunisia,TUN,2.9025,2.7573,2.614,2.4779,2.352,2.2419,2.1534,2.0877,2.0437,2.0183,2.0053,1.9967,1.9845,1.9626,1.9279,1.8794
Panama,PAN,2.7992,2.7139,2.6263,2.5388,2.4531,2.3716,2.296,2.2272,2.1653,2.1105,2.0623,2.0199,1.9813,1.9447,1.9089,1.8726
Jordan,JOR,2.8005,2.7249,2.6508,2.5786,2.5085,2.4404,2.3741,2.3093,2.2459,2.184,2.1235,2.0647,2.0076,1.9524,1.899,1.8473
Saint Vincent and the Grenadines,VCT,2.6714,2.6706,2.6567,2.6282,2.5843,2.5268,2.4598,2.3897,2.3219,2.259,2.2027,2.1529,2.1075,2.0647,2.024,1.985
El Salvador,SLV,3.0562,2.9248,2.8155,2.7243,2.6446,2.57,2.4958,2.421,2.3448,2.2655,2.1833,2.0999,2.0188,1.9422,1.8706,1.8037
Tonga,TON,2.9147,2.8761,2.8378,2.7998,2.7623,2.7251,2.6883,2.6518,2.6155,2.5793,2.5432,2.5071,2.4711,2.4353,2.3995,2.364
Colombia,COL,3.0741,2.9925,2.9182,2.854,2.7998,2.7553,2.7196,2.6899,2.6628,2.6359,2.606,2.5705,2.5284,2.4796,2.424,2.3625
Palestine,PSE,3.1281,3.0544,2.9863,2.9216,2.8584,2.7955,2.7324,2.67,2.6087,2.5484,2.4889,2.4304,2.373,2.3169,2.2621,2.2087
